Reaction,N,C,SubS,Solvent,H-X-CNu,AverageL2,exp-ee,iminium,solvent,catalyst,nucleophile,
289,-0.430,0.457,-0.682,3.021,114,4.71,-1.89,iminium-22-E,toluene,"2,4,6-i PrC6H2","2-(4-methoxyphenyl)-2,3-dihydro-1,3-benzothiazole",
286,-0.430,0.457,-0.682,3.021,114,3.61,-1.57,iminium-22-E,toluene,"2,4,6-MeC6H2","2-phenyl-2,3-dihydro-1,3-benzothiazole",
292,-0.430,0.457,-0.682,3.021,113,4.71,-1.77,iminium-22-E,toluene,"2,4,6-i PrC6H2","2-(1-naphthyl)-2,3-dihydro-1,3-benzothiazole",
294,-0.430,0.457,-0.682,3.166,114,4.71,-2.95,iminium-22-E,mesitylene,"2,4,6-i PrC6H2","2-(2-naphthyl)-2,3-dihydro-1,3-benzothiazole",
302,-0.414,0.448,-0.683,3.166,114,4.71,-2.69,iminium-35-E,mesitylene,"2,4,6-i PrC6H2","2-(2-naphthyl)-2,3-dihydro-1,3-benzothiazole",
295,-0.438,0.457,-0.689,3.166,114,4.71,-2.95,iminium-24-E,mesitylene,"2,4,6-i PrC6H2","2-(2-naphthyl)-2,3-dihydro-1,3-benzothiazole",
297,-0.432,0.453,-0.681,3.166,114,4.71,-2.95,iminium-34-E,mesitylene,"2,4,6-i PrC6H2","2-(2-naphthyl)-2,3-dihydro-1,3-benzothiazole",
298,-0.437,0.456,-0.681,3.166,114,4.71,-2.95,iminium-27-E,mesitylene,"2,4,6-i PrC6H2","2-(2-naphthyl)-2,3-dihydro-1,3-benzothiazole",
305,-0.441,0.470,-0.684,3.166,114,4.71,-2.69,iminium-36-E,mesitylene,"2,4,6-i PrC6H2","2-(2-naphthyl)-2,3-dihydro-1,3-benzothiazole",
306,-0.426,0.487,-0.697,3,114,2.58,-0.6,iminium-1-E,benzene,Ph,"2-phenyl-2,3-dihydro-1,3-benzothiazole",
307,-0.426,0.487,-0.697,3,114,2.58,-0.63,iminium-1-E,benzene,4-NO2C6H4,"2-phenyl-2,3-dihydro-1,3-benzothiazole",
