Unnamed: 0,v_av_central_atom,v_av_nu_atom,sasa_ratio_nu,sasa_ratio_central,epn_central,epn_nu,epn_lg,epn_central_ts,epn_nu_ts,epn_lg_ts,nu_charge,nu_charge_ts,central_charge,central_charge_ts,lg_charge,lg_charge_ts,omega,n,local_electrophilicity_center,local_nucleophilicity_nu,is_av,es_av,p_int_central,p_int_nu,bo_sub_lg,bo_nu_ts,bo_lg_ts,bo_prod_nu,pc_1,pc_2,pc_3,pc_4,pc_5,activation_energy,exp_activation_energy
51,17.0,-12.8,0.1066203365032918,0.0551507121563431,-14.585902,-18.366041,-22.207293,-14.577679,-18.278601,-22.22483,-0.480292,-0.261508,0.244489,0.302495,-0.145931,-0.195494,0.1906506320997124,-6.01771287707468,0.0309339999999999,-0.07064,6.73,-1.15,27.830008340594677,18.84055518312048,1.34785,0.233271,1.262943,1.353221,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,16.653921326658995,18.12
52,18.9,-19.3,0.1367959034381858,0.0516727393176548,-14.58779,-18.368114,-22.203604,-14.565336,-18.253725,-22.204347,-0.494159,-0.260438,0.254042,0.322298,-0.190102,-0.218437,0.1444677330475523,-5.859651655783786,0.0361753749999999,-0.094749,6.79,-0.78,25.708795848551237,16.67146322269065,1.321055,0.216459,1.261143,1.364084,-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,17.107851635644966,22.02
53,31.6,-19.4,0.1369787856620336,0.0405763497846969,-14.556356,-18.368114,-22.176007,-14.55046,-18.281613,-22.188811,-0.494156,-0.277349,0.253572,0.2984,-0.150038,-0.19018,0.1581765959264178,-5.859666295508551,0.0301401249999999,-0.094749,6.79,-1.32,30.518056158324853,16.61793770638084,1.343924,0.210413,1.278621,1.360897,-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,12.655725274239073,18.62
54,30.4,-19.3,0.1367959034381858,0.0551507121563431,-14.562912,-18.368114,-22.160463,-14.551543,-18.246955,-22.174483,-0.494191,-0.267402,0.23439,0.291408,-0.144896,-0.184025,0.151852275298182,-5.859658186516199,0.0305085,-0.09475,6.79,-1.19,28.19196202717566,16.634371837368395,1.321741,0.225519,1.255181,1.365187,-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,14.460423683334316,20.01
55,19.3,-19.4,0.1369787856620336,0.0545710500165617,-14.580525,-18.368114,-22.207465,-14.564801,-18.265924,-22.209071,-0.494205,-0.267242,0.259619,0.300598,-0.15799,-0.20606,0.1517204969317577,-5.859646893791321,0.02897275,-0.094748,6.79,-1.29,27.83293555736464,16.63414864350779,1.347002,0.217033,1.283464,1.366219,-8.726510000000001,-5.31265,1.25112,-1.85931,-0.620266,15.194755976101742,19.35
56,30.4,-13.4,0.2239392831016825,0.0402451142762504,-14.559045,-18.364498,-64.304813,-14.560098,-18.263287,-64.327317,-0.725815,-0.50248,0.102048,0.190192,-0.004352,-0.071114,0.2279438860371913,-5.772710273728787,0.039273625,-0.014077,7.14,-1.73,29.1550881910547,14.426649036755975,1.139458,0.211955,1.020824,1.406293,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,11.524399741851576,15.29
57,30.7,-11.6,0.2243050475493782,0.0401623053991387,-14.559059,-18.359787,-64.304803,-14.55869,-18.264199,-64.32525,-0.721102,-0.508439,0.102082,0.186573,-0.004267,-0.067351,0.2279489786183115,-6.2860807810980495,0.0392645,-0.0376989999999999,7.18,-1.73,29.15579746131596,14.458352587290303,1.139475,0.206667,1.02505,1.385459,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,11.382430744878487,15.66
58,30.6,-13.0,0.2242136064374542,0.0402451142762504,-14.55906,-18.363206,-64.30481,-14.560452,-18.268074,-64.326455,-0.723768,-0.511394,0.102085,0.188092,-0.004389,-0.068488,0.2279509172399633,-6.100572959544333,0.039266125,-0.015315,7.16,-1.73,29.048635256930098,14.346905912895393,1.139595,0.203418,1.023766,1.405445,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,10.770362401374284,15.39
59,30.7,-7.2,0.2228419897585954,0.0401623053991387,-14.559046,-18.350467,-64.304803,-14.552376,-18.255718,-64.320707,-0.716928,-0.508896,0.102328,0.187585,-0.004458,-0.067415,0.2279434273404242,-6.304872773130873,0.039273,-0.0138519999999999,7.21,-1.73,28.66568485436393,14.50166052479516,1.139559,0.208042,1.023319,1.384656,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,11.88781307469874,15.99
60,28.0,-13.1,0.2241221653255303,0.0401623053991387,-14.564867,-18.364498,-64.309904,-14.565604,-18.27178,-64.333059,-0.725966,-0.50907,0.096464,0.189001,-0.012891,-0.081045,0.2481570885925147,-5.772731226494086,0.018595875,-0.014071,7.14,-1.61,28.65914171124436,14.679306568017417,1.136175,0.21294,1.010472,1.399971,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,12.797231178255696,16.13
